Pixel	Blue	Green	Red	***	BGR	BGR_Norm	***	Coord	Angstrom	BW	BW_Norm
1830	99.3	15773.9	53.98	***	15927.18	79.64	***	1721	5180.21	13088	65.44
1831	83.79	15772.47	54.19	***	15910.45	79.55	***	1722	5183.22	13056	65.28
1832	71.22	15725.95	49.49	***	15846.66	79.23	***	1723	5186.23	13000	65.0
1833	62.74	15713.1	45.47	***	15821.31	79.11	***	1724	5189.24	12973	64.86
1834	52.02	15685.91	40.83	***	15778.76	78.89	***	1725	5192.25	12920	64.6
1835	42.93	15708.08	46.36	***	15797.37	78.99	***	1726	5195.26	12922	64.61
1836	36.08	15702.4	50.57	***	15789.05	78.95	***	1727	5198.27	12916	64.58
1837	32.56	15709.52	52.68	***	15794.76	78.97	***	1728	5201.28	12916	64.58
1838	27.93	15755.31	47.6	***	15830.84	79.15	***	1729	5204.29	12942	64.71
1839	22.63	15788.94	43.97	***	15855.54	79.28	***	1730	5207.3	12951	64.75
1840	22.32	15802.49	53.74	***	15878.55	79.39	***	1731	5210.31	12977	64.89
1841	20.22	15797.49	52.48	***	15870.19	79.35	***	1732	5213.32	12964	64.82
1842	15.61	15809.7	43.4	***	15868.71	79.34	***	1733	5216.33	12951	64.75
1843	14.6	15785.31	43.78	***	15843.69	79.22	***	1734	5219.34	12932	64.66
1844	13.37	15718.82	43.39	***	15775.58	78.88	***	1735	5222.35	12883	64.42
1845	14.49	15734.52	47.62	***	15796.63	78.98	***	1736	5225.36	12891	64.45
1846	13.43	15713.77	47.79	***	15774.99	78.87	***	1737	5228.37	12880	64.4
1847	12.36	15703.8	47.6	***	15763.76	78.82	***	1738	5231.38	12858	64.29
1848	11.46	15771.71	51.62	***	15834.79	79.17	***	1739	5234.39	12922	64.61
1849	11.19	15851.18	49.77	***	15912.14	79.56	***	1740	5237.4	12991	64.95
1850	9.99	15768.95	48.47	***	15827.41	79.14	***	1741	5240.41	12919	64.59
1851	10.62	15741.7	53.13	***	15805.45	79.03	***	1742	5243.42	12917	64.58
1852	12.24	15785.3	61.79	***	15859.33	79.3	***	1743	5246.43	12959	64.8
1853	11.18	15735.23	60.96	***	15807.37	79.04	***	1744	5249.44	12914	64.57
1854	8.61	15617.24	48.63	***	15674.48	78.37	***	1745	5252.45	12797	63.98
1855	8.95	15554.33	52.92	***	15616.2	78.08	***	1746	5255.46	12748	63.74
1856	10.46	15542.13	57.35	***	15609.94	78.05	***	1747	5258.47	12758	63.79
1857	9.1	15497.07	50.35	***	15556.52	77.78	***	1748	5261.48	12705	63.52
1858	11.06	15451.32	53.35	***	15515.73	77.58	***	1749	5264.49	12669	63.34
1859	9.85	15406.25	48.9	***	15465.0	77.33	***	1750	5267.5	12622	63.11
1860	10.14	15464.18	50.17	***	15524.49	77.62	***	1751	5270.51	12668	63.34
1861	11.13	15552.91	56.91	***	15620.95	78.1	***	1752	5273.52	12761	63.8
1862	9.05	15559.3	51.64	***	15619.99	78.1	***	1753	5276.53	12764	63.82
1863	10.02	15627.94	53.96	***	15691.92	78.46	***	1754	5279.54	12814	64.07
1864	10.25	15754.56	54.35	***	15819.16	79.1	***	1755	5282.55	12916	64.58
1865	11.27	15849.67	56.12	***	15917.06	79.59	***	1756	5285.56	13003	65.02
1866	10.02	15818.96	51.59	***	15880.57	79.4	***	1757	5288.57	12973	64.86
1867	10.13	15856.81	56.29	***	15923.23	79.62	***	1758	5291.58	13004	65.02
1868	11.39	15856.15	58.42	***	15925.96	79.63	***	1759	5294.59	13012	65.06
1869	10.07	15854.8	55.51	***	15920.38	79.6	***	1760	5297.6	12996	64.98
1870	8.68	15920.52	50.39	***	15979.59	79.9	***	1761	5300.61	13044	65.22
1871	9.79	15957.68	48.85	***	16016.32	80.08	***	1762	5303.62	13080	65.4
1872	9.06	15945.62	51.92	***	16006.6	80.03	***	1763	5306.63	13065	65.33
1873	9.24	15919.16	48.69	***	15977.09	79.89	***	1764	5309.64	13038	65.19
1874	9.25	15834.68	50.14	***	15894.07	79.47	***	1765	5312.65	12970	64.85
1875	10.16	15766.01	49.31	***	15825.48	79.13	***	1766	5315.66	12927	64.64
1876	9.34	15821.83	55.61	***	15886.78	79.43	***	1767	5318.67	12956	64.78
1877	10.41	15874.69	55.67	***	15940.77	79.7	***	1768	5321.68	13015	65.08
1878	7.73	15862.59	49.94	***	15920.26	79.6	***	1769	5324.69	12999	65.0
1879	7.46	15884.06	47.2	***	15938.72	79.69	***	1770	5327.7	13015	65.08
1880	9.42	15939.93	50.09	***	15999.44	80.0	***	1771	5330.71	13063	65.31
