Pixel	Blue	Green	Red	***	BGR	BGR_Norm	***	Coord	Angstrom	BW	BW_Norm
2146	16.89	65.35	4275.3	***	4357.54	21.79	***	2040	6181.2	6016	30.08
2147	16.96	63.17	4261.43	***	4341.56	21.71	***	2041	6184.23	5996	29.98
2148	18.08	71.08	4245.83	***	4334.99	21.67	***	2042	6187.26	5983	29.91
2149	17.94	57.43	4240.09	***	4315.46	21.58	***	2043	6190.29	5958	29.79
2150	16.72	58.15	4230.17	***	4305.04	21.53	***	2044	6193.32	5943	29.71
2151	16.81	42.37	4210.29	***	4269.47	21.35	***	2045	6196.35	5901	29.5
2152	16.88	56.72	4193.72	***	4267.32	21.34	***	2046	6199.38	5896	29.48
2153	17.96	66.07	4197.3	***	4281.33	21.41	***	2047	6202.41	5919	29.59
2154	19.2	76.07	4190.52	***	4285.79	21.43	***	2048	6205.44	5909	29.55
2155	17.41	58.93	4160.29	***	4236.63	21.18	***	2049	6208.47	5852	29.26
2156	18.44	59.59	4156.28	***	4234.31	21.17	***	2050	6211.5	5845	29.23
2157	18.24	51.02	4166.2	***	4235.46	21.18	***	2051	6214.53	5857	29.29
2158	16.38	53.9	4138.62	***	4208.9	21.04	***	2052	6217.56	5815	29.07
2159	16.29	53.87	4130.51	***	4200.67	21.0	***	2053	6220.59	5804	29.02
2160	17.38	56.78	4139.69	***	4213.85	21.07	***	2054	6223.62	5825	29.13
2161	17.53	47.45	4142.28	***	4207.26	21.04	***	2055	6226.65	5819	29.09
2162	17.41	43.14	4132.25	***	4192.8	20.96	***	2056	6229.68	5798	28.99
2163	16.41	42.39	4112.44	***	4171.24	20.86	***	2057	6232.71	5766	28.83
2164	14.71	35.22	4103.23	***	4153.16	20.77	***	2058	6235.74	5747	28.73
2165	14.9	41.67	4106.44	***	4163.01	20.82	***	2059	6238.77	5757	28.79
2166	17.43	48.13	4097.24	***	4162.8	20.81	***	2060	6241.8	5754	28.77
2167	18.56	55.28	4081.79	***	4155.63	20.78	***	2061	6244.83	5741	28.7
2168	16.54	45.98	4069.52	***	4132.04	20.66	***	2062	6247.86	5711	28.55
2169	14.66	53.19	4032.25	***	4100.1	20.5	***	2063	6250.89	5657	28.29
